date	rise	set
20130101	0713	1623
20130102	0714	1624
20130103	0714	1625
20130104	0714	1626
20130105	0713	1627
20130106	0713	1628
20130107	0713	1629
20130108	0713	1630
20130109	0713	1631
20130110	0713	1632
20130111	0712	1633
20130112	0712	1634
20130113	0712	1635
20130114	0711	1636
20130115	0711	1637
20130116	0710	1639
20130117	0710	1640
20130118	0709	1641
20130119	0709	1642
20130120	0708	1644
20130121	0707	1645
20130122	0706	1646
20130123	0706	1647
20130124	0705	1649
20130125	0704	1650
20130126	0703	1651
20130127	0702	1652
20130128	0702	1654
20130129	0701	1655
20130130	0700	1656
20130131	0659	1658
20130201	0658	1659	
20130202	0657	1700
20130203	0655	1701
20130204	0654	1703
20130205	0653	1704
20130206	0652	1705
20130207	0651	1707
20130208	0650	1708
20130209	0648	1709
20130210	0647	1711
20130211	0646	1712
20130212	0645	1713
20130213	0643	1714
20130214	0642	1716
20130215	0640	1717
20130216	0639	1718
20130217	0638	1720
20130218	0636	1721
20130219	0635	1722
20130220	0633	1723
20130221	0632	1725
20130222	0630	1726
20130223	0629	1727
20130224	0627	1728
20130225	0626	1730
20130226	0624	1731
20130227	0623	1732
20130228	0621	1733
20130301	0619	1735	
20130302	0618	1736
20130303	0616	1737
20130304	0614	1738
20130305	0613	1739
20130306	0611	1741
20130307	0609	1742
20130308	0608	1743
20130309	0606	1744
20130310	0604	1745
20130311	0603	1746
20130312	0601	1748
20130313	0559	1749
20130314	0558	1750
20130315	0556	1751
20130316	0554	1752
20130317	0553	1753
20130318	0551	1755
20130319	0549	1756
20130320	0547	1757
20130321	0546	1758
20130322	0544	1759
20130323	0542	1800
20130324	0540	1801
20130325	0539	1803
20130326	0537	1804
20130327	0535	1805
20130328	0533	1806
20130329	0532	1807
20130330	0530	1808
20130331	0528	1809
20130401	0527	1810	
20130402	0525	1812
20130403	0523	1813
20130404	0521	1814
20130405	0520	1815
20130406	0518	1816
20130407	0516	1817
20130408	0515	1818
20130409	0513	1819
20130410	0511	1821
20130411	0510	1822
20130412	0508	1823
20130413	0506	1824
20130414	0505	1825
20130415	0503	1826
20130416	0502	1827
20130417	0500	1828
20130418	0458	1830
20130419	0457	1831
20130420	0455	1832
20130421	0454	1833
20130422	0452	1834
20130423	0451	1835
20130424	0449	1836
20130425	0448	1837
20130426	0446	1839
20130427	0445	1840
20130428	0444	1841
20130429	0442	1842
20130430	0441	1843
20130501	0439	1844	
20130502	0438	1845
20130503	0437	1846
20130504	0435	1847
20130505	0434	1849
20130506	0433	1850
20130507	0432	1851
20130508	0431	1852
20130509	0429	1853
20130510	0428	1854
20130511	0427	1855
20130512	0426	1856
20130513	0425	1857
20130514	0424	1858
20130515	0423	1859
20130516	0422	1900
20130517	0421	1901
20130518	0420	1902
20130519	0419	1903
20130520	0418	1904
20130521	0417	1905
20130522	0417	1906
20130523	0416	1907
20130524	0415	1908
20130525	0414	1909
20130526	0414	1910
20130527	0413	1911
20130528	0412	1911
20130529	0412	1912
20130530	0411	1913
20130531	0411	1914
20130601	0410	1915	
20130602	0410	1915
20130603	0409	1916
20130604	0409	1917
20130605	0409	1918
20130606	0408	1918
20130607	0408	1919
20130608	0408	1919
20130609	0408	1920
20130610	0407	1921
20130611	0407	1921
20130612	0407	1922
20130613	0407	1922
20130614	0407	1922
20130615	0407	1923
20130616	0407	1923
20130617	0407	1924
20130618	0407	1924
20130619	0407	1924
20130620	0408	1924
20130621	0408	1925
20130622	0408	1925
20130623	0408	1925
20130624	0409	1925
20130625	0409	1925
20130626	0409	1925
20130627	0410	1925
20130628	0410	1925
20130629	0411	1925
20130630	0411	1925
20130701	0412	1925	
20130702	0412	1925
20130703	0413	1924
20130704	0413	1924
20130705	0414	1924
20130706	0415	1923
20130707	0415	1923
20130708	0416	1923
20130709	0417	1922
20130710	0417	1922
20130711	0418	1921
20130712	0419	1921
20130713	0420	1920
20130714	0420	1920
20130715	0421	1919
20130716	0422	1918
20130717	0423	1918
20130718	0424	1917
20130719	0425	1916
20130720	0426	1915
20130721	0427	1915
20130722	0427	1914
20130723	0428	1913
20130724	0429	1912
20130725	0430	1911
20130726	0431	1910
20130727	0432	1909
20130728	0433	1908
20130729	0434	1907
20130730	0435	1906
20130731	0436	1905
20130801	0437	1903	
20130802	0438	1902
20130803	0439	1901
20130804	0440	1900
20130805	0441	1859
20130806	0442	1857
20130807	0443	1856
20130808	0444	1855
20130809	0446	1853
20130810	0447	1852
20130811	0448	1851
20130812	0449	1849
20130813	0450	1848
20130814	0451	1846
20130815	0452	1845
20130816	0453	1843
20130817	0454	1842
20130818	0455	1840
20130819	0456	1839
20130820	0457	1837
20130821	0458	1836
20130822	0459	1834
20130823	0500	1833
20130824	0501	1831
20130825	0502	1829
20130826	0503	1828
20130827	0505	1826
20130828	0506	1825
20130829	0507	1823
20130831	0508	1821
20130830	0509	1820
20130901	0510	1818	
20130902	0511	1816
20130903	0512	1814
20130904	0513	1813
20130905	0514	1811
20130906	0515	1809
20130907	0516	1808
20130908	0517	1806
20130909	0518	1804
20130910	0519	1802
20130911	0520	1801
20130912	0521	1759
20130913	0522	1757
20130914	0523	1755
20130915	0525	1754
20130916	0526	1752
20130917	0527	1750
20130918	0528	1748
20130919	0529	1747
20130920	0530	1745
20130921	0531	1743
20130922	0532	1741
20130923	0533	1739
20130924	0534	1738
20130925	0535	1736
20130926	0536	1734
20130927	0537	1732
20130928	0538	1731
20130929	0539	1729
20130930	0541	1727
20131001	0542	1725	
20131002	0543	1724
20131003	0544	1722
20131004	0545	1720
20131005	0546	1719
20131006	0547	1717
20131007	0548	1715
20131008	0549	1714
20131009	0551	1712
20131010	0552	1710
20131011	0553	1709
20131012	0554	1707
20131013	0555	1705
20131014	0556	1704
20131015	0557	1702
20131016	0559	1700
20131017	0600	1659
20131018	0601	1657
20131019	0602	1656
20131020	0603	1654
20131021	0604	1653
20131022	0606	1651
20131023	0607	1650
20131024	0608	1648
20131025	0609	1647
20131026	0610	1646
20131027	0612	1644
20131028	0613	1643
20131029	0614	1641
20131030	0615	1640
20131031	0617	1639
20131101	0618	1637	
20131102	0619	1636
20131103	0620	1635
20131104	0622	1634
20131105	0623	1633
20131106	0624	1631
20131107	0625	1630
20131108	0627	1629
20131109	0628	1628
20131110	0629	1627
20131111	0630	1626
20131112	0632	1625
20131113	0633	1624
20131114	0634	1623
20131115	0635	1622
20131116	0637	1621
20131117	0638	1621
20131118	0639	1620
20131119	0640	1619
20131120	0641	1618
20131121	0643	1618
20131122	0644	1617
20131123	0645	1616
20131124	0646	1616
20131125	0647	1615
20131126	0648	1615
20131127	0650	1614
20131128	0651	1614
20131129	0652	1613
20131130	0653	1613
20131201	0654	1613
20131202	0655	1613
20131203	0656	1612
20131204	0657	1612
20131205	0658	1612
20131206	0659	1612
20131207	0700	1612
20131208	0701	1612
20131209	0702	1612
20131210	0703	1612
20131211	0703	1612
20131212	0704	1612
20131213	0705	1612
20131214	0706	1612
20131215	0707	1613
20131216	0707	1613
20131217	0708	1613
20131218	0708	1614
20131219	0709	1614
20131220	0710	1615
20131221	0710	1615
20131222	0711	1616
20131223	0711	1616
20131224	0712	1617
20131225	0712	1617
20131226	0712	1618
20131227	0713	1619
20131228	0713	1619
20131229	0713	1620
20131230	0713	1621
20131231	0713	1622